 Rank , Player Name ,Position ,Team , Bye Week ,Best Rank , Worst Rank , Ave Rank , Std Dev ,ADP 
1,Jamaal Charles,RB,KC,6,1,2,1.3478260869565,0.4762804847871,2
2,LeSean McCoy,RB,PHI,7,1,11,3.0869565217391,2.8576829087226,1
3,Matt Forte,RB,CHI,9,2,10,4.0434782608696,1.852806587188,3
4,Calvin Johnson,WR,DET,9,2,11,4.2173913043478,1.8639957487153,5
5,Adrian Peterson,RB,MIN,10,1,16,5.7826086956522,3.374540506423,4
7,Demaryius Thomas,WR,DEN,4,3,14,7.5217391304348,2.4999054802548,8
8,Dez Bryant,WR,DAL,11,3,15,8.304347826087,2.6773572727549,9
9,Eddie Lacy,RB,GB,9,6,16,11.347826086957,2.495364322136,6
10,DeMarco Murray,RB,DAL,11,5,23,12.347826086957,4.5550611665074,14
11,Giovani Bernard,RB,CIN,4,5,26,13.739130434783,5.3990127221827,19
12,Julio Jones,WR,ATL,9,7,26,14,4.4624033298505,15
13,A.J. Green,WR,CIN,4,7,29,14.608695652174,5.7690262190484,10
14,Brandon Marshall,WR,CHI,9,8,24,15.086956521739,4.2211995356591,12
15,Montee Ball,RB,DEN,4,3,37,15.173913043478,7.3523268952793,11
16,Le'Veon Bell,RB,PIT,12,9,27,16.260869565217,4.2653038151063,18
17,Marshawn Lynch,RB,SEA,4,9,33,19.521739130435,6.0495746542352,16
18,Antonio Brown,WR,PIT,12,12,41,20.086956521739,5.8526325810309,20
19,Jordy Nelson,WR,GB,9,14,34,21.913043478261,4.9511794245171,21
20,Arian Foster,RB,HOU,10,5,82,21.95652173913,19.091264245995,17
21,Andre Ellington,RB,ARI,4,14,39,22.173913043478,6.6767095118391,28
22,Alshon Jeffery,WR,CHI,9,13,52,23.95652173913,7.0924225386619,23
23,Randall Cobb,WR,GB,9,16,34,25.652173913043,4.5836068544151,26
24,Zac Stacy,RB,STL,4,17,54,27,8.7177978870813,35
25,Doug Martin,RB,TB,7,10,57,27.695652173913,10.976000628283,27
26,Pierre Garcon,WR,WAS,10,19,42,29.826086956522,5.6233378136434,31
27,Reggie Bush,RB,DET,9,17,60,30.260869565217,10.76716987281,30
29,Andre Johnson,WR,HOU,10,14,55,31.04347826087,9.1958320467555,39
30,Peyton Manning,QB,DEN,4,18,63,32.347826086957,8.8396768367656,13
32,Vincent Jackson,WR,TB,7,25,46,36.913043478261,4.8266744648271,37
33,Victor Cruz,WR,NYG,8,10,55,37.173913043478,9.9461689103111,36
34,Aaron Rodgers,QB,GB,9,30,43,37.173913043478,3.7025511053989,24
35,Keenan Allen,WR,SD,10,22,65,37.260869565217,8.7933640557962,33
36,Drew Brees,QB,NO,6,24,47,37.565217391304,5.6631999477674,22
37,Shane Vereen,RB,NE,10,18,80,38,15.983687336455,38
38,C.J. Spiller,RB,BUF,9,17,72,39.347826086957,14.713521423011,34
39,Ryan Mathews,RB,SD,10,17,57,39.565217391304,12.107583275734,47
40,Alfred Morris,RB,WAS,10,21,55,41.521739130435,8.5357028452484,32
41,Roddy White,WR,ATL,9,8,85,42.217391304348,16.341349318295,42
42,Wes Welker,WR,DEN,4,27,93,43.739130434783,14.019295371812,41
43,Larry Fitzgerald,WR,ARI,4,27,85,45.478260869565,15.361922335599,43
44,Toby Gerhart,RB,JAC,11,23,80,46.913043478261,15.530931390862,40
45,Michael Crabtree,WR,SF,8,8,98,47.173913043478,17.563925910335,46
46,Rashad Jennings,RB,NYG,8,28,67,47.913043478261,10.201930948848,51
47,Joique Bell,RB,DET,9,20,80,48.608695652174,12.394736366822,56
48,Michael Floyd,WR,ARI,4,26,89,51.565217391304,13.386645152203,52
49,Kendall Wright,WR,TEN,9,33,82,54.347826086957,9.053506145962,65
50,Cordarrelle Patterson,WR,MIN,10,27,82,54.869565217391,13.218249400063,44
51,Matthew Stafford,QB,DET,9,35,77,57.04347826087,8.9514548774733,49
52,Julian Edelman,WR,NE,10,44,73,57.130434782609,8.8135486009552,58
53,Pierre Thomas,RB,NO,6,25,80,57.304347826087,13.725364595169,53
54,Ray Rice,RB,BAL,11,35,91,57.434782608696,15.561452058537,61
55,Chris Johnson,RB,NYJ,11,41,77,57.478260869565,8.7916440823703,57
56,Bishop Sankey,RB,TEN,9,35,95,58,15.961911185558,45
57,Torrey Smith,WR,BAL,11,31,82,60.347826086957,11.335242064703,67
58,Percy Harvin,WR,SEA,4,38,106,60.826086956522,17.246681278521,48
59,DeSean Jackson,WR,WAS,10,40,88,62.304347826087,10.601209047572,50
60,Mike Wallace,WR,MIA,5,26,93,63.217391304348,14.749963954972,70
61,Andrew Luck,QB,IND,10,43,89,65.478260869565,11.717209807419,62
62,Ben Tate,RB,CLE,4,47,120,65.95652173913,16.819962934534,68
64,Frank Gore,RB,SF,8,39,129,68.260869565217,18.981037199186,63
65,Trent Richardson,RB,IND,10,40,143,69,21.437472271499,55
66,Lamar Miller,RB,MIA,5,31,120,69.826086956522,22.871383627492,79
67,Ty Hilton,WR,IND,10,32,101,69.95652173913,17.757982310155,59
68,Marques Colston,WR,NO,6,28,108,70.347826086957,18.426372158574,73
69,Danny Woodhead,RB,SD,10,18,105,72.391304347826,19.539790240596,76
70,Eric Decker,WR,NYJ,11,53,94,72.739130434783,11.887945634876,88
71,Nick Foles,QB,PHI,7,47,105,73.739130434783,13.778424821009,72
